x,PBS,PBA,PBS79/A21,PBS59/A41,PBS50/A50,PBS39/A61,PBS21/A79
1330,"84,722","24,606","74,444","64,337","54,505","45,391","36,219"
"1330,64","84,722","24,611","74,258","64,227","54,59","45,452","36,286"
"1331,96","85,077","24,619","74,104","64,242","54,861","45,577","36,38"
"1332,34","85,269","24,62","74,193","64,327","54,958","45,612","36,398"
"1335,15","87,421","24,619","78,174","66,032","55,804","45,867","36,411"
"1340,2","91,049","24,543","81,413","69,166","57,27","46,264","36,002"
"1342,36","92,116","24,461","82,085","69,825","57,716","46,398","35,682"
"1343,33","92,516","24,411","82,331","70,011","57,872","46,447","35,513"
"1343,85","92,713","24,38","82,452","70,089","57,943","46,471","35,416"
"1345,03","93,123","24,297","82,706","70,223","58,077","46,514","35,179"
"1345,67","93,326","24,244","82,831","70,275","58,135","46,532","35,042"
"1355,83","95,443","22,029","84,108","70,227","58,332","46,042","32,513"
"1361,78","96,011","18,177","84,416","70,252","58,322","45,282","31,228"
"1363,61","96,094","16,989","84,452","70,467","58,393","45,217","30,963"
"1364,12","96,109","16,747","84,457","70,557","58,426","45,235","30,906"
"1366,33","96,123","16,531","84,449","71,097","58,651","45,515","30,787"
"1367,39","96,097","16,982","84,426","71,426","58,806","45,74","30,829"
"1370,81","95,817","19,728","84,243","72,283","59,412","46,663","31,656"
"1371,13","95,77","20,014","84,214","72,313","59,467","46,754","31,794"
"1372,62","95,476","21,294","84,044","72,31","59,697","47,163","32,572"
"1376,51","93,955","23,615","83,14","71,55","59,93","47,893","34,924"
"1377,01","93,673","23,766","82,944","71,419","59,918","47,928","35,165"
"1377,41","93,444","23,858","82,768","71,313","59,903","47,943","35,339"
"1380,18","92,167","23,924","81,216","70,582","59,704","47,794","36,072"
"1381,49","91,944","23,7","80,886","70,268","59,573","47,607","36,166"
"1382,87","91,935","23,344","80,894","69,976","59,419","47,36","36,151"
"1387,39","92,704","21,721","81,672","69,524","58,894","46,507","35,628"
"1390,07","93,348","20,772","82,304","69,776","58,631","46,237","35,129"
"1391,62","93,729","20,407","82,68","70,074","58,525","46,249","34,812"
"1393,62","94,207","20,375","83,155","70,554","58,479","46,42","34,393"
"1395,7","94,673","20,926","83,622","71,091","58,604","46,711","33,973"
"1398,69","95,238","22,103","84,195","71,76","59,11","47,165","33,518"
"1401,28","95,59","22,597","84,569","72,118","59,659","47,448","33,585"
"1403,56","95,749","22,494","84,77","72,194","59,993","47,529","34,473"
"1403,65","95,752","22,482","84,776","72,192","60,002","47,528","34,53"
"1405,46","95,74","22,205","84,818","72,075","60,103","47,452","35,225"
"1405,66","95,73","22,169","84,816","72,054","60,105","47,438","35,242"
"1405,83","95,72","22,136","84,812","72,035","60,106","47,425","35,248"
"1410,35","94,984","21,196","84,163","71,274","59,857","46,916","34,417"
"1414,35","93,667","20,727","82,401","70,39","59,438","46,424","33,601"
"1416,02","92,981","21,094","81,577","70,023","59,253","46,274","33,444"
"1419,85","91,367","23,688","80,503","69,323","58,878","46,197","33,72"
"1421,4","90,948","24,437","80,517","69,15","58,769","46,318","34,053"
"1421,89","90,924","24,613","80,574","69,116","58,743","46,374","34,178"
"1422,31","90,984","24,749","80,64","69,096","58,724","46,429","34,294"
"1423,22","91,516","24,993","80,826","69,088","58,699","46,565","34,564"
"1424,3","93,186","25,223","81,115","69,151","58,7","46,755","34,922"
"1426,75","96,286","25,575","81,941","69,597","58,874","47,251","35,813"
"1428,15","96,886","25,703","82,481","70,038","59,089","47,55","36,328"
"1435,68","96,646","25,821","85,245","73,16","60,811","48,758","37,558"
"1436,22","96,559","25,799","85,358","73,247","60,896","48,801","37,559"
"1437,07","96,419","25,76","85,469","73,305","61,006","48,853","37,548"
"1437,51","96,343","25,735","85,492","73,301","61,052","48,873","37,537"
"1439,14","96,058","25,626","85,349","73,129","61,164","48,912","37,464"
"1442,32","95,516","25,321","84,257","72,374","61,203","48,859","37,225"
"1445,5","95,122","24,89","83,501","71,691","61,095","48,686","36,92"
"1445,97","95,093","24,818","83,477","71,642","61,071","48,653","36,873"
"1446,09","95,087","24,799","83,474","71,633","61,064","48,645","36,86"
"1456,64","96,922","22,967","84,756","72,714","60,257","47,661","35,77"
"1456,84","96,918","22,936","84,778","72,723","60,24","47,642","35,751"
"1457,86","96,848","22,788","84,87","72,749","60,16","47,547","35,658"
"1459,43","96,631","22,59","84,925","72,727","60,042","47,411","35,525"
"1459,86","96,555","22,542","84,914","72,711","60,012","47,376","35,49"
"1462,47","96,01","22,336","84,58","72,544","59,853","47,211","35,307"
"1465,76","95,228","22,297","83,675","72,242","59,743","47,134","35,161"
"1468,01","94,745","22,401","83,452","72,024","59,765","47,199","35,139"
"1469,93","94,58","22,563","84,166","71,861","59,886","47,358","35,181"
"1471,99","95,935","22,81","84,837","71,744","60,187","47,663","35,294"
"1473,91","96,826","23,101","85,302","71,75","60,675","48,093","35,467"
"1473,93","96,831","23,104","85,305","71,751","60,679","48,097","35,469"
"1479,18","98,034","24,201","86,174","73,376","61,781","49,465","36,33"
"1480,98","98,291","24,684","86,392","74,488","62,026","49,793","36,766"
"1482,46","98,468","25,108","86,55","74,999","62,197","50,014","37,17"
"1488,16","98,961","26,36","87,027","75,4","62,685","50,606","38,45"
"1489,37","99,036","26,499","87,107","75,409","62,763","50,694","38,585"
"1490,84","99,118","26,626","87,195","75,415","62,85","50,788","38,711"
"1496,16","99,351","26,863","87,454","75,422","63,103","51,039","38,975"
"1497,01","99,38","26,883","87,487","75,423","63,135","51,069",39
"1497,08","99,382","26,885","87,49","75,423","63,138","51,071","39,002"
"1503,25","99,551","26,971","87,682","75,424","63,328","51,223","39,12"
"1522,55","99,762","27,008","87,961","75,432","63,597","51,344","39,206"
"1528,87","99,765","26,996","87,988","75,44","63,629","51,325","39,201"
"1545,18","99,675","26,95","87,964","75,463","63,643","51,213","39,172"
"1569,08","99,348","26,862","87,75","75,488","63,547","50,988","39,139"
"1569,36","99,343","26,861","87,747","75,488","63,545","50,985","39,139"
"1585,3","99,006","26,794","87,502","75,491","63,435","50,861","39,122"
"1588,59","98,924","26,78","87,44","75,489","63,409","50,84","39,118"
"1608,53","98,526","26,69","86,764","75,434","63,244","50,725","39,091"
"1608,63","98,525","26,689","86,761","75,433","63,243","50,724","39,09"
"1611,07","98,511","26,678","86,718","75,418","63,223","50,71","39,086"
"1611,47","98,509","26,676","86,712","75,415","63,22","50,708","39,085"
"1628,65","98,491","26,593","86,53","75,204","63,082","50,584","39,019"
"1630,13","98,486","26,585","86,515","75,175","63,07","50,569","39,009"
"1648,43","98,21","26,469","86,288","74,576","62,823","50,287","38,711"
"1654,02","97,972","26,397","86,19","74,257","62,635","50,148","38,509"
"1656,07","97,849","26,359","86,148","74,12","62,535","50,087","38,412"
"1658,75","97,641","26,292","86,086","73,922","62,374","49,996","38,262"
"1662,79","97,18","26,136","85,973","73,587","62,071","49,824","37,983"
"1665,73","96,686","25,955","85,866","73,314","61,805","49,653","37,733"
"1670,78","95,358","25,465","85,566","72,79","61,268","49,171","37,208"
"1674,74","94,092","24,944","84,802","72,335","60,787","48,601","36,71"
"1675,71","93,921","24,804","83,488","72,22","60,664","48,47","36,579"
"1676,22","93,866","24,728","83,303","72,159","60,598","48,403","36,508"
"1679,57","93,86","24,207","82,607","71,755","60,152","47,988","36,026"
"1680,38","93,885","24,075","82,482","71,658","60,041","47,89","35,905"
1683,"93,895","23,634","82,128","71,357","59,673","47,57","35,507"
"1687,26","93,384","22,887","81,655","70,919","59,009","47,018","34,849"
"1691,83","91,584","22,052","81,245","70,226","58,111","46,314","34,14"
"1693,13","90,738","21,811","81,145","69,883","57,801","46,088","33,943"
"1694,75","89,435","21,51","80,989","69,3","57,368","45,79","33,703"
"1697,54","86,709","20,982","80,015","67,816","56,469","45,241","33,329"
"1698,16","86,045","20,854","79,456","67,398","56,234","45,112","33,259"
"1698,52","85,659","20,778","79,053","67,145","56,092","45,038","33,221"
"1700,19","83,813","20,376","76,537","65,841","55,345","44,664","32,934"
"1703,14","80,652","19,372","71,489","63,269","53,565","43,755","30,568"
"1704,75","79,076","18,569","69,055","61,792","52,16","42,942","28,801"
"1706,42","77,633","17,499","66,919","60,262","50,276","41,518","26,97"
"1709,63","75,557","14,754","63,982","57,451","45,898","35,5","23,618"
"1711,64","74,812","12,687","62,937","55,891","43,764","32,644","21,691"
"1712,71","74,605","11,551","62,624","55,163","43,028","31,603","20,73"
"1713,7","74,53","10,491","62,48","54,564","42,567","30,805","19,874"
"1714,37","74,539","9,797","62,463","54,22","42,367","30,349","19,329"
"1714,84","74,571","9,316","62,484","54,008","42,27","30,058","18,958"
"1723,7","78,266","2,684","66,4","55,102","43,776","28,798","14,577"
"1724,26","78,652","2,49","66,798","55,456","43,982","29,028","14,536"
"1726,53","80,378","2,051","68,541","57,07","44,898","30,427","14,785"
"1729,07","82,564","2,284","70,659","58,978","46,044","32,708","15,857"
"1732,7","86,16","3,979","73,839","61,768","47,883","36,716","18,819"
"1733,34","86,852","4,42","74,379","62,26","48,23","37,44","19,507"
